costep_1999-09-16_10_3	Mr President, ladies and gentlemen, we must be aware of the fact that there is seething unrest in the Caucasus. Right now it concerns the tragic fate of the people in Dagestan. Most news reports only give us a scant account of the drama taking place in this part of the world. We need humanitarian aid there urgently. The main thing would be above all for these people in Dagestan to be granted the same autonomy as they already have in neighbouring states. So what is happening? There is clearly a lack of objective information on the political situation there, but there is also a lack of respect for human rights. The Organisation for Security and Co-operation in Europe must be commissioned to prepare a report for our Parliament, the Commission and the Council, and the task which faces us generally in our various Groups must be directed particularly at obtaining such information as quickly as possible and reliably. Regardless of where responsibility lies for the situation in Dagestan, the fact remains that it is a result of the dramatic developments following the fall of the iron curtain and that the countries in this region have only managed with great difficulty to liberate themselves. In addition, the political authorities responsible continue to attempt to regulate ethnic groups and to create divisions between them. We have seen this in direct proximity to us in Europe in the former Yugoslavia, and now we are observing similar developments further away. We must do all we can to extinguish the fire that has been kindled there, so that the people in this part of the world also have the possibility of developing in peace, establishing their own autonomy, and having a future, such as we have already secured for ourselves in Europe. We should not forget that a few decades ago we lived through a similar fate here in Europe. We were then reasonable and came to an understanding, and it is now our job to help people there in their development, which may perhaps run a similar course, but which can in any case offer them the possibility of a future, in which their existence is secure, and where they can take control of their own destiny.
costep_2000-12-13_7_13	Mr President, ladies and gentlemen, the proposal of the European Commission intended to make the purchasing of digital products which can be downloaded directly from the Internet by consumers resident in the Union from extra-Community firms subject to VAT is a heavy blow for the development of e-commerce. The goal which the Commission would like to achieve is to eliminate the disadvantage suffered by European e-businesses whose sales to European consumers are already subject to VAT. Nevertheless, the solution proposed will prove to be technically unmanageable and a barrier to the development of on-line transactions within the Union, at the very time when everybody is hoping for its expansion. The point has been made from several quarters, even within the Council, which has decided to give itself more time, that the proposal is weak, that it leaves gaps and that it is such as to induce numerous objections. I will quote but a few: it appears that it would be impossible to apply the measures adopted without active cooperation from the other countries, particularly the United States, which is currently not at all disposed to cooperate. What would happen if an Eastern European country failed to register in Europe for VAT purposes? Would the site be blocked or would we prosecute the users who continued to download files from offshore sites? When all is said and done, any benefit would go to the companies who, with relative ease and certain impunity, refused to comply with the registration obligation. How can an e-business be certain that its clients have declared their true place of residence? If the European criteria of the registration obligation were to be taken up internationally for e-commerce taxation, the businesses complying with the obligation, including European businesses, would be forced to register in dozens and dozens of countries, incurring increasingly unreasonable expenses, especially where smaller firms are concerned. I could say more, for example on the decision to tax the sale of all electronic equipment etc. Moreover, this enthusiasm for negligible amounts of taxable income and tax revenue is incomprehensible. The Commission should rather endeavour to ensure that a common, definitive definition of the e-business taxation criteria reaches the OSCE or the WTO. For these reasons we will vote against the report.
costep_2011-05-11_6_318	Having noted, and I quote and now utter the following euphemism - 'a lack of values and ethics in the behaviour of certain actors in the financial markets and institutions' - this Parliament has set off on a pathetic crusade to inject some ethics into the sector. To use the word crusade is perhaps to overstate the case. It might be better to say that some pious hopes are expressed that finally, the interests of customers and workers should be taken into account. There is some pitiful bleating about social, cultural and 'gender' diversity on boards of directors (quotas for the Roma, no doubt?). There are some proposals, which have already largely been adopted at European level, on the indecent remunerations in the sector, where we could do considerably better. There are some risk controls here and there. In short, the point that escapes you is the fact that companies are merely playing by the rules that you set. Now these rules, rules that you are basically refusing to question, are the free international movement of capital, the financialisation of the economy, an over-emphasis on the short term, securitisation, complex financial products that are not based on any concrete wealth creation and the constitution of large multinational groups which are more powerful than States and are not subject to control. Until you deal with the foundations of this system, you will change nothing.
costep_2001-05-31_2_8	Mr President, the report by Mr Ribeiro e Castro gives a clear and thorough exposition of the Commission document and its shortcomings. Firstly, the rapporteur requires more information on the results of the EURES network. I fully support that, since it definitely remains obscure how the results of EURES relate to the state of affairs in European labour markets. Secondly, the Commission document shows clearly that Member States could make fuller use of the potential of the EURES network, in view of the differences between Member States in the number of vacancies in the network: international recruitment will not be realistic for all vacancies. In the same way the call to encourage all border regions to enter into a EURES partnership has not been supported with arguments based on the need for community support expressed by the regions themselves. The obstacles are not found in the first place between adjacent regions, but concern mobility over greater distances, that is, they are 'transnational' rather than 'cross-border' in nature. EU enlargement implies that a shift in emphasis from cross-border to transnational mobility will become more likely. My third point concerns the necessary subsidiarity. Both the Commission and the rapporteur raise the point that local familiarity with the network leaves much to be desired. However, local information is the responsibility of the local players. For that reason, reserving a substantial portion of the budget for promotion is undesirable. On the other hand, I can fully support the call for decentralisation. The term of the budget is also a discussion point. The Commission wants a budget extending over several years as this facilitates planning. I have no problems with long-term budgets as such, but I do with the scope and nature of the community package of responsibilities proposed by the Commission. That leads me to prefer an annual establishment of the budget. In conclusion the attention paid by the rapporteur to expansion has my support. After the political decision on the free movement of employees is taken for the candidate countries, the mobility of labour must no longer be restricted by inadequate cooperation in employment provision.
costep_2003-01-29_3_19	Mr President, Mr Solana, Mr Vice-President of the Commission, I will begin with a quotation, one which sums up like no other statement our position on the war against Iraq: 'A preventive war is an act of aggression, and cannot be described as a just war in self-defence. For the right to self-defence presupposes not merely the possibility of an attack, but that an attack is actually happening or is imminent. Warfare with the aim of averting danger would nullify international law’s prohibition of force, promote political instability and, in the final analysis, shatter the foundations of the whole system of an international community of states.' And elsewhere in the same statement: 'Any security strategy committing itself to preventive warfare is in defiance both of Catholic teaching and of international law.' These quotations are from the statement on the Iraq conflict issued, on 20 January of this year, by the Conference of German Bishops. As my Christian Democrat opposite number has not made reference to the Conference of Catholic Bishops, I have to do so, and do not think that these statements require anything to be added to them. All the time I have known you, Mr Solana, I have regarded you as a great optimist, so when you say, as you have done today, that the political situation is bad, then the political situation is very bad. Donald Rumsfeld, the American minister for war, spoke of 'old Europe'. All of us who have spoken here today have declared that we belong to this old Europe, and that would not be cause for any further excitement on our part, had he not drawn the distinction between us and the 'new Europe' - those whose opinions are identical with Mr Rumsfeld’s and who think along the same lines as he does. President Kwasniewski of Poland said in an interview last week, 'If it is President Bush’s vision, it is mine!' The Polish President is of course entitled to as narrow a field of vision as he may choose, but there is no doubt that the Polish government - like all the governments of the other candidate countries - is under an obligation to act in solidarity with the European Union, to which they want to belong. The candidate countries have decided of their own free will to belong to the European Union, and we wish to welcome them, but, when it comes to issues of war and peace, preventive warfare and the setting-aside of international law, we expect them to be solidly alongside us.
costep_2001-04-04_5_7	Mr President, to analyse this year zero of the Tampere era we have, for the first time, a tool that will be extraordinarily useful, both now and in the future: the scoreboard set up by the Commission which, in future years, should include the progress made in the Council and the progress made in each of the Member States. A comparison between the initial forecasts and the latest revision of the scoreboard shows, for instance, how we have progressed - I would say remarkably - in matters of judicial cooperation. We have hopes for the future of Eurojust and this Parliament welcomes the decisions taken by the Council and the Member States' initiatives which, in the field of judicial cooperation, have added to the Commission proposals, thus creating a circle that should be maintained in future. My Group also values the highly significant Commission communication on the mutual recognition of sentences in criminal matters. We hope it will be a solid base from which to combat crime, especially those more callous and intolerable versions such as terrorism. Ministers, we are well aware of what the European Commission has presented this last year in connection with the Tampere Agenda: it is on the scoreboard. What we do not know is what the Council is thinking of doing with them in the immediate future. In exchange, we have seen concrete and fragmentary proposals - I do not want to return to the debate we had in the previous sitting - from each Member State, which in this case we cannot accept at all, either now or in the future. Today we have also talked about the shock caused by the arrival of the East Sea in Europe. It shocked everyone, and I think it would have done so even more if the citizens knew that even before Tampere we had set up something which (talking of cooperation with the countries of origin) is called an action plan for northern Iraq, i.e. the Kurds. But the citizens do not know. Just as those of my country do not know that we have set up an action plan for Morocco, and while they keep finding the bodies of our young neighbours on their beaches they wonder what the European Union is doing. In fact, the impression given by the press is that not even our government knows. Laeken is going to be a new opportunity for the common immigration and asylum policy. Please do not just reaffirm the Tampere decisions again. Tell us how you intend to move forward. Please do not repeat that things are on the right road. Really convince yourselves that your decisions are good ones, and uphold them clearly and with determination and courage. Parliament - and I am sure in this respect the citizens too - will follow.
costep_2000-12-14_8_13	Mr President, allow me to start by welcoming Imen Derwiche and Nourredine Ben Tisha to the public gallery; they are young Tunisian students who were tortured and imprisoned for several months. Action is needed quickly, which is why we decided to include this item on the agenda. The very existence of the oldest human rights league in Africa and the Arab-speaking world, the Tunisian League, is under threat, despite being recognised by President Ben Ali. Judicial proceedings to have it wound up were instituted following its last congress, which appointed directors who are obviously not to the Tunisian authorities' liking. Its fate is to be decided at a hearing scheduled for 25 December, which is surprising, because this date is also a Muslim public holiday this year. As we speak, police forces have surrounded the premises of the Tunisian National Council for Liberties and even the private residences of some of its members. This police operation has already used force to prevent the National Council of the League from meeting in Bizerte and the Tunisian National Council for Liberties from meeting in Tunis. Its spokesman, Moncef Marzouki, risks being sentenced to over 10 years in prison at a hearing the day after tomorrow, on 16 December. Finally, political prisoners have been on hunger strike in prison, some of them for two months. Some, such as Béchir Habid, are in a critical condition. Their very life is in danger. Repression is on the rise, arrests and intolerable cases of torture are increasing in number. This is no longer a question of attacks on the freedom of expression, association or assembly; now, freedom of movement, freedom of speech and the freedom to receive persons of one’s choice are difficult to exercise in Tunisia. Men and women are harassed daily and their families harassed as well. One example is Mehdi Zougah, a French-Tunisian citizen, who was arrested at Tunis airport on 11 August. For four months his wife and children have been waiting for him at home in Marseilles. He will stand trial on 8 January on charges of having attended a meeting of the Tunisian opposition in France, which he denies. It is a case of the most blatant arbitrariness. The Tunisian authorities should pay heed to the concern and outrage being expressed in this Chamber. They should listen to the representative of the UN Secretary-General for human rights who expressed her acute concern on 7 December, calling for an end to the practice of harassing defenders of human rights. The Tunisian authorities should realise once and for all that we are determined not to relax our vigilance and to continue to press for fundamental rights to be respected.
costep_1999-10-27_5_6	Mr President, Commissioner, I am delighted that we have been able to hold this debate in the European Parliament on the tidal wave of company restructuring that we are witnessing and the massive job losses that accompany it. My Group had expressed its desire to do so at the time of the Michelin affair. In other words, and this has just been reiterated, the simultaneous announcement made by the management of this huge company to financial analysts of achieving substantial profits on the one hand, and the decision to shed 7,500 jobs in Europe on the other. Although this initiative was immediately welcomed by the stock exchange, where its share value immediately rose, it also caused great indignation in large sectors of public opinion, particularly in France but also in other countries, as I have seen myself. To some extent, the cynicism of the Michelin method has had the effect of increasing tenfold the phenomenon of rejection which this modern capitalist strategy is itself bringing about, the strategy known as share-holder value, the creation of value for the shareholder which consists of subordinating everything, especially employment costs which in their eyes are intolerable, to the bulimic demands of the shareholders who finance business. Michelin is unfortunately far from being the exception in this area. Its provocative announcement fits into the context of a veritable gangrene which we cannot allow to develop without reacting to it, unless we ourselves renounce any control over economic and social development and, as a result, the ambition to promote a European Social Model in the midst of globalisation. The same applies to Olivetti which, having found the capital necessary for its lucrative take-over bid for Telecom Italia, arranged to shed 13,000 jobs. The same applies to Alcatel which, in order to regain the confidence of its financial shareholders, at the same time announced a net profit of FRF 15 billion, that is EUR 2.3 billion, and 12,000 job losses. The same thing applies to the banking sector where the arrival of the euro gave a veritable boost to the mergers and acquisitions which eat up jobs and which shifted the emphasis of banking towards financial and even speculative activities. The sad record is held by Renault which is gratifying its shareholders with its swingeing job cuts at Nissan even if it means exporting the most horrendous image of Europe to Japan whilst, as an indirect result, shedding several thousand jobs within the European Union itself. But what can we do? Governments have some responsibility in this area, particularly in the reform of the laws on so-called economic redundancies. In no case should a flourishing business shed staff, let alone make employees redundant. Then there is the responsibility of the European Union. In January last year, our Parliament amended the Directive on informing and consulting workers. We are still waiting for the Commission to adopt these amendments. But I think that today we must go further. To give some examples, a six-month delay for any restructuring plan should be imposed on businesses in order to allow an independent assessment by the unions. If the company has received public funds, as has already been said, including European funds, non-compliance with the rules as laid down should entail the funds being paid back. By the same token, in the Directive on European works councils, the role of these councils as well as the protection of the staff delegates should be appreciably strengthened. It is therefore up to the Commission to submit two revised proposals for a directive to us as quickly as possible. Finally, on the eve of the opening of the WTO negotiations, I want to stress the need for Europe to state its political desires, including those related to industrial policy, focusing on employment, wealth creation and regional development. In the face of new technologies and the information revolution, there is room for a new concept of productivity, based not on the rationing of social expenditure but on the promotion of human abilities. Contrary to the current tendency to deregulate everything, the European Union can, if it wants, provide itself with instruments which will allow it to promote just such a policy, from the taxation of speculative transactions to the establishment of selective credit which will stimulate job creation and discourage mass redundancies. For its part, my Group will be addressing the main European trade union organisations in order to exchange views and, if needs be, initiate a European petition which will allow our fellow citizens to weigh up the forthcoming decisions. There has been a Vilvorde effect, the scope of which everyone remembers but which has not been reflected in new rules. We hope that the Michelin effect will instead result in concrete changes. I think that this is the standard against which our fellow citizens, faced with the kind of restructuring we are debating today, will judge the real extent of our solidarity.
costep_2010-01-19_4_34	Mr President, I find it odd that people here have spoken of visibility and have doubted the motives of the United States of America, because right now help is needed. I think that it is especially tragic that among the ruins at the moment, there are people who could still be rescued. Everything that can be done to improve the situation should be done. When, a while ago, the crisis management forces were established to bolster the European’s foreign and security policy, including its defence policy, the reason I was given for this, at least in Finland, was that these forces were also there in the event of natural disasters, and that they could help when such catastrophes struck anywhere in the world, including Europe of course. Now, however, crisis management forces actually have nothing to do in the different parts of Europe in which they are stationed. They have nothing to do. Fortunately, there are no crises in Europe, and so they have nothing to do. What is stopping these crisis management forces from being used for crises like this if help is being requested?
costep_2005-01-27_1_42	As we commemorate the 60th anniversary of the liberation of the Auschwitz concentration camp, we remember and condemn the horrific tragedy of the Holocaust. We cannot, and must not, forget this tragedy, which is one of the most shameful and painful chapters in our continent’s history. Let it serve as a lesson to all of us for the future, so that we can combat the extremes that lead to intolerance, discrimination and racism. I support the idea that the 27th should become the day on which, throughout Europe, we remember the Holocaust and pay tribute to its victims. I am concerned at the growing signs of anti-Semitism and racism, and at the rise of extremist and xenophobic parties. It is up to the EU and the international community as a whole, fully and effectively to promote and protect civil and fundamental rights in the Union and in the world. The EU must remain faithful to the values that form part of its shared heritage, must strive to safeguard the principles of tolerance and non-discrimination and must promote social, economic and political integration. It is crucial that we resume discussions on the draft framework decision on racism and xenophobia, because we will only be able to combat these phenomena effectively and consistently throughout EU territory if we adopt an integrated approach that involves both preventative and punitive measures.
